CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,2024_FCLTY_NM,2024_DATA_CO,2023_DATA_CO,2024_TOT_PROGRM_CO,2023_TOT_PROGRM_CO,2024_VIEWNG_PRICE,2023_VIEWNG_PRICE,2024_ARTGR_EMP_CO,2023_ARTGR_EMP_CO,2024_BULD_AR_VALUE,2023_BULD_AR_VALUE,2024_DSPY_AR_CN,2023_DSPY_AR_CN,FLAG_NM,2024_food_count_by_dong,2024_VIEWNG_NMPR_CO,2023_VIEWNG_NMPR_CO,viewer_decline,DATA_CO_GROWTH_RATE,VIEWNG_PRICE_GROWTH_RATE,TOT_PROGRM_CO_GROWTH_RATE,ARTGR_EMP_CO_GROWTH_RATE,DSPY_AR_CN_GROWTH_RATE
대구,수성구,고산2동,대구미술관,12573,343.3636363636364,21.0,16.0,1000,1000.0,2,2.172661870503597,16970.0,16970.0,4202.0,4202.0,공립,289,280217,220088,0,35.61715647339158,0.0,0.3125,-0.07947019867549661,0.0
대구,북구,산격3동,경북대학교미술관,2001,426.1218181818182,4.0,4.0,0,0.0,2,2.172661870503597,803.0,803.0,525.0,525.0,대학,426,9814,41458,1,3.6958402846817173,0.0,0.0,-0.07947019867549661,0.0
대구,남구,대명3동,계명대학교 극재미술관,10613,408.73333333333335,2.0,2.0,0,0.0,1,1.0,78076.0,2373.0,1401.6,1350.3,대학,313,13300,10779,0,24.96558473332246,0.0,0.0,0.0,0.03799155743168182
인천,미추홀구,학익1동,송암미술관,1981,343.3636363636364,5.0,5.0,2750,6738.888888888889,2,2.172661870503597,3685.0,3685.0,2069.4,2069.0,공립,237,16318,9962,0,4.7693936987026735,-0.5919208573784006,0.0,-0.07947019867549661,0.00019333011116485788
인천,중구,신포동,인천아트플랫폼,9122,343.3636363636364,9.0,11.0,2750,6738.888888888889,2,2.172661870503597,5593.0,5593.0,460.0,460.0,공립,426,14718,20530,1,25.566587238549115,-0.5919208573784006,-0.18181818181818182,-0.07947019867549661,0.0
인천,강화군,선원면,더리미미술관,300,300.0,0.0,6.0,2000,2000.0,1,2.0,380.0,380.0,280.0,280.0,사립,108,2056,1590,0,0.0,0.0,-1.0,-0.5,0.0
인천,강화군,길상면,해든뮤지움,2588,408.73333333333335,26.0,31.0,13000,13000.0,3,2.0,1986.0,1986.0,1066.0,1066.0,사립,297,12483,12000,0,5.331756646550318,0.0,-0.16129032258064516,0.5,0.0
광주,북구,운암2동,광주시립미술관,11597,343.3636363636364,7.0,7.0,2750,6738.888888888889,2,2.172661870503597,13330.0,13330.0,2921.0,2921.0,공립,314,176020,130000,0,32.77468890653958,-0.5919208573784006,0.0,-0.07947019867549661,0.0
광주,북구,문화동,시화문화마을금봉미술관,4535,426.1218181818182,12.0,10.0,2750,6738.888888888889,2,2.172661870503597,982.94,982.94,391.0,391.4,공립,110,12654,12346,0,9.642496597217184,-0.5919208573784006,0.2,-0.07947019867549661,-0.0010219724067449599
광주,남구,양림동,양림미술관,3011,329.125,0.0,0.0,2750,6738.888888888889,2,2.172661870503597,318.0,318.0,318.0,318.0,공립,167,3000,17903,1,8.148499810102544,-0.5919208573784006,0.0,-0.07947019867549661,0.0
광주,남구,양림동,이강하미술관,3011,329.125,3.0,4.0,2750,6738.888888888889,2,2.172661870503597,231.9,231.9,199.8,199.8,공립,167,18000,23461,1,8.148499810102544,-0.5919208573784006,-0.25,-0.07947019867549661,0.0
광주,동구,지원1동,국윤미술관,200,500.0,5.0,4.0,7465,8155.8441558441555,1,2.172661870503597,576.0,569.0,124.0,242.0,사립,74,1792,2000,1,-0.6,-0.08470541401273882,0.25,-0.5397350993377483,-0.48760330578512395
광주,동구,학운동,드영미술관,2588,408.73333333333335,18.0,18.0,7465,8155.8441558441555,5,5.0,1222.3,1222.3,376.0,376.0,사립,170,19593,19593,0,5.331756646550318,-0.08470541401273882,0.0,0.0,0.0
광주,동구,학운동,무등현대미술관,4535,426.1218181818182,3.0,11.0,7465,8155.8441558441555,4,2.172661870503597,602.0,605.0,412.0,441.0,사립,170,8009,2077,0,9.642496597217184,-0.08470541401273882,-0.7272727272727273,0.8410596026490068,-0.06575963718820861
광주,동구,학운동,우제길미술관,2588,408.73333333333335,5.0,1.0,1500,1500.0,1,1.0,1142.8,1139.0,165.0,165.0,사립,170,2814,952,0,5.331756646550318,0.0,4.0,0.0,0.0
광주,동구,충장동,은암미술관,10000,408.73333333333335,5.0,5.0,7465,8155.8441558441555,3,4.0,2608.0,2608.0,398.0,395.0,사립,772,6918,7194,1,23.465829391616374,-0.08470541401273882,0.0,-0.25,0.007594936708860759
광주,동구,학운동,의재미술관,2588,408.73333333333335,3.0,3.0,2000,2000.0,3,3.0,1562.0,1562.0,630.0,630.0,사립,170,8601,8016,0,5.331756646550318,0.0,0.0,0.0,0.0
광주,동구,충장동,주안미술관,350,350.0,27.0,8.0,7465,8155.8441558441555,5,2.0,131.0,131.0,125.0,125.0,사립,772,3164,1816,0,0.0,-0.08470541401273882,2.375,1.5,0.0
광주,남구,진월동,광주대학교 호심미술관,3011,329.125,0.0,0.0,0,0.0,2,2.172661870503597,405.0,405.0,135.0,135.0,대학,296,10500,10400,0,8.148499810102544,0.0,0.0,-0.07947019867549661,0.0
대전,서구,만년동,대전시립미술관,24220,343.3636363636364,8.0,15.0,500,500.0,2,2.172661870503597,11081.08,8427.0,2954.0,2954.0,공립,227,182437,86221,0,69.53746359544613,0.0,-0.4666666666666667,-0.07947019867549661,0.0
대전,서구,만년동,이응노미술관,9689,343.3636363636364,0.0,43.0,2750,6738.888888888889,2,2.172661870503597,2700.0,2700.0,472.0,472.0,공립,227,65924,60071,0,27.217897802488746,-0.5919208573784006,-1.0,-0.07947019867549661,0.0
대전,유성구,온천1동,성암미술관,1000,329.125,1.0,0.0,7465,4000.0,2,2.172661870503597,531.0,531.0,247.0,247.0,사립,1018,292,217,0,2.038359285985568,0.86625,0.0,-0.07947019867549661,0.0
울산,중구,중앙동,울산시립미술관,2798,343.3636363636364,20.0,8.0,1000,1000.0,2,2.172661870503597,12830.0,12830.0,2318.0,2318.0,공립,551,198334,194235,0,7.148795340217103,0.0,1.5,-0.07947019867549661,0.0
경기,안산시,초지동,경기도미술관,14328,343.3636363636364,20.0,15.0,2750,6738.888888888889,2,2.172661870503597,8277.0,8277.0,2115.0,2115.0,공립,368,150647,100898,0,40.72835583796664,-0.5919208573784006,0.3333333333333333,-0.07947019867549661,0.0
경기,이천시,관고동,경기도자미술관,16474,343.3636363636364,19.0,6.0,2750,6738.888888888889,2,2.172661870503597,6926.38,6926.0,1926.91,1992.0,공립,212,1525,6537,1,46.97828964786868,-0.5919208573784006,2.1666666666666665,-0.07947019867549661,-0.03267570281124494
경기,여주시,오학동,경기생활도자미술관,10613,343.3636363636364,2.0,3.0,2750,6738.888888888889,2,2.172661870503597,2858.0,2858.0,934.0,1258.0,공립,282,16553,16189,0,29.90892242520519,-0.5919208573784006,-0.3333333333333333,-0.07947019867549661,-0.2575516693163752
경기,고양시,마두1동,고양시립 아람미술관,500,408.73333333333335,21.0,19.0,2750,6738.888888888889,2,2.172661870503597,1961.0,1961.0,2801.6,1899.0,공립,368,21727,21523,0,0.22329146958081875,-0.5919208573784006,0.10526315789473684,-0.07947019867549661,0.4753027909426013
경기,안산시,성포동,김홍도미술관,1000,343.3636363636364,1.0,3.0,2750,6738.888888888889,2,2.172661870503597,3072.0,3072.0,2451.0,2451.0,공립,368,39775,32289,0,1.9123643102991792,-0.5919208573784006,-0.6666666666666666,-0.07947019867549661,0.0
경기,용인시,상갈동,백남준아트센터,9665,343.3636363636364,21.0,21.0,2750,6738.888888888889,2,2.172661870503597,5605.0,5605.0,2357.0,2357.0,공립,368,123099,141923,1,27.14800105904157,-0.5919208573784006,0.0,-0.07947019867549661,0.0
경기,성남시,야탑3동,성남큐브미술관,10613,343.3636363636364,5.0,2.0,2750,6738.888888888889,2,2.172661870503597,4538.0,4538.0,1131.0,1131.0,공립,368,48424,36436,0,29.90892242520519,-0.5919208573784006,1.5,-0.07947019867549661,0.0
경기,수원시,행궁동,수원시립미술관,10613,343.3636363636364,18.0,19.0,4000,6738.888888888889,2,2.172661870503597,9661.9,9662.0,2058.6,2424.0,공립,368,140222,75744,0,29.90892242520519,-0.4064303380049464,-0.05263157894736842,-0.07947019867549661,-0.1507425742574258
경기,양주시,장흥면,양주시립장욱진미술관,300,300.0,25.0,25.0,5000,5000.0,2,2.172661870503597,1852.0,1852.0,481.0,481.0,공립,277,67644,67644,0,0.0,0.0,0.0,-0.07947019867549661,0.0
경기,양평군,양평읍,양평군립미술관,1100,343.3636363636364,0.0,199.0,2750,6738.888888888889,2,2.172661870503597,4185.0,4185.0,1685.0,1685.0,공립,620,48842,35767,0,2.203600741329097,-0.5919208573784006,-1.0,-0.07947019867549661,0.0
경기,여주시,여흥동,여주시 미술관 아트뮤지엄 려,4535,329.125,9.0,7.0,2750,6738.888888888889,2,2.172661870503597,1056.7,561.0,334.6,335.0,공립,504,25000,22904,0,12.77895936194455,-0.5919208573784006,0.2857142857142857,-0.07947019867549661,-0.0011940298507462008
경기,오산시,중앙동,오산시립미술관,10613,867.0,1.0,3.0,2750,6738.888888888889,2,2.172661870503597,3172.62,3173.0,648.75,759.0,공립,524,8000,16225,1,11.241061130334487,-0.5919208573784006,-0.6666666666666666,-0.07947019867549661,-0.14525691699604742
경기,이천시,관고동,이천시립월전미술관,2588,408.73333333333335,16.0,16.0,2000,2000.0,2,2.172661870503597,2008.0,2008.0,637.0,637.0,공립,212,19068,16179,0,5.331756646550318,0.0,0.0,-0.07947019867549661,0.0
경기,양주시,장흥면,양주시립민복진미술관,5000,426.1218181818182,6.0,5.0,5000,5000.0,2,2.172661870503597,895.0,895.0,447.0,446.8,공립,277,70149,67644,0,10.7337338447819,0.0,0.2,-0.07947019867549661,0.0004476275738585242
경기,양평군,양동면,C ART MUSEUM,1000,80.0,2.0,0.0,7000,7000.0,2,1.0,2067.0,3219.0,295.65,1803.0,사립,43,1000,120,0,11.5,0.0,0.0,1.0,-0.8360232945091514
경기,김포시,양촌읍,CICA미술관,4535,426.1218181818182,21.0,21.0,7000,7000.0,2,2.0,712.0,712.0,600.0,600.0,사립,580,2250,3836,1,9.642496597217184,0.0,0.0,0.0,0.0
경기,가평군,청평면,가일미술관,2588,408.73333333333335,3.0,3.0,7465,8155.8441558441555,1,1.0,2300.0,2300.0,1040.0,1040.0,사립,376,783,522,0,5.331756646550318,-0.08470541401273882,0.0,0.0,0.0
경기,양평군,서종면,구하우스 미술관,400,400.0,5.0,2.0,15000,15000.0,7,7.0,1683.0,1682.91,787.0,787.0,사립,204,17164,19784,1,0.0,0.0,1.5,0.0,0.0
경기,용인시,상하동,근현대사미술관담다,5100,426.1218181818182,7.0,38.0,5000,5000.0,1,2.0,807.3,807.3,467.0,467.0,사립,368,7500,6470,0,10.968408521677539,0.0,-0.8157894736842105,-0.5,0.0
경기,가평군,북면,남송미술관,3100,408.73333333333335,0.0,4.0,6000,6000.0,4,4.0,1498.0,1498.0,1192.0,1061.0,사립,87,2457,950,0,6.584407111401076,0.0,-1.0,0.0,0.1234684260131951
경기,광주시,초월읍,닻미술관,600,600.0,4.0,4.0,7465,8155.8441558441555,3,4.0,650.0,650.0,315.0,315.0,사립,413,2396,2567,1,0.0,-0.08470541401273882,0.0,-0.25,0.0
