FCLTY_NM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,DATA_CO,TOT_PROGRM_CO,VIEWNG_PRICE,ARTGR_EMP_CO,BULD_AR_VALUE,DSPY_AR_CN,FLAG_NM,VIEWNG_NMPR_CO
청주시립미술관 분관(대청호미술관),충북,청주시,문의면,2588,3.0,2750,2,1411.0,446.0,공립,56343
청주시한국공예관,충북,청주시,내덕2동,10613,6.0,2750,2,14238.0,6280.0,공립,22352
성마루미술관,충북,충주시,대소원면,3011,0.0,7465,2,330.0,200.0,사립,3000
쉐마미술관,충북,청주시,내수읍,47000,5.0,2000,5,620.0,186.0,사립,4000
신미술관,충북,청주시,사직1동,4535,0.0,7465,1,716.0,482.0,사립,1400
우민아트센터,충북,청주시,중앙동,4535,25.0,7465,5,851.0,465.0,사립,5597
운보미술관,충북,청주시,내수읍,2588,0.0,6000,3,1408.0,200.0,사립,13000
고암이응노생가기념관,충남,홍성군,홍북읍,10000,27.0,1000,2,1312.0,432.0,공립,14298
천안시립미술관,충남,천안시,성남면,2588,6.0,2750,2,1682.0,894.0,공립,29714
당림미술관,충남,아산시,송악면,1950,12.0,5000,3,485.0,203.0,사립,18373
리각미술관,충남,천안시,원성1동,300,8.0,7465,5,850.0,15401.0,사립,5000
모산조형미술관,충남,보령시,성주면,4535,3.0,7465,1,939.0,435.0,사립,21192
서해미술관,충남,서산시,부석면,3011,2.0,7465,3,550.0,120.0,사립,3700
수덕사 선미술관,충남,예산군,덕산면,10613,0.0,7465,2,12200.0,238.0,사립,365000
순성미술관,충남,당진시,순성면,3011,0.0,7465,1,181.69,144.65,사립,13250
아미미술관,충남,당진시,순성면,7200,4.0,7465,2,957.0,251.0,사립,111483
임립미술관,충남,공주시,계룡면,5000,0.0,3000,4,1457.6,953.0,사립,8000
남원시립김병종미술관,전북,남원시,노암동,6542,0.0,2750,2,1463.0,511.0,공립,73275
벽천미술관,전북,김제시,부량면,815,1.0,2750,2,489.0,335.0,공립,2234
순창공립옥천골미술관,전북,순창군,순창읍,3011,3.0,2750,2,464.59,162.0,공립,12453
익산예술의전당미술관,전북,익산시,어양동,200,15.0,2750,2,3368.0,1110.0,공립,17429
전북특별자치도립미술관,전북,완주군,구이면,4411,41.0,2750,2,8929.0,1475.0,공립,199230
정읍시립미술관,전북,정읍시,초산동,2050,4.0,2750,2,1696.4,594.7,공립,15119
최북미술관,전북,무주군,무주읍,2588,7.0,2750,2,1094.0,546.0,공립,43039
W미술관,전북,익산시,어양동,4620,4.0,7465,2,431.03,148.6,사립,3997
교동미술관,전북,전주시,풍남동,700,6.0,7465,4,405.0,236.0,사립,43599
금구원야외조각미술관,전북,부안군,변산면,760,0.0,3000,1,847.9449999999999,10040.0,사립,4000
누벨백미술관,전북,전주시,효자5동,820,4.0,7465,1,922.0,205.0,사립,2970
미술관 솔,전북,전주시,풍남동,500,0.0,7465,2,5887.0,214.0,사립,2500
산속등대미술관,전북,완주군,소양면,983,2.0,12000,1,2564.1,827.0,사립,18931
수지미술관,전북,남원시,수지면,3000,23.0,7465,1,886.0,317.0,사립,3944
예깊미술관,전북,군산시,흥남동,500,2.0,7465,1,330.0,495.0,사립,14160
이당미술관,전북,군산시,월명동,3011,0.0,7465,2,449.0,430.0,사립,18474
장수미술관,전북,장수군,계남면,500,4.0,7465,1,223.0,103.0,사립,1522
전주현대미술관,전북,전주시,풍남동,550,3.0,5000,1,638.0,391.0,사립,5500
청목미술관,전북,전주시,노송동,253,2.0,7465,2,400.0,185.0,사립,10969
휘목미술관,전북,부안군,진서면,2588,0.0,3000,1,1112.0,800.0,사립,1503
1004섬수석미술관,전남,신안군,자은면,3011,0.0,10000,2,446.47,449.45,공립,27000
남도전통미술관,전남,진도군,의신면,120,4.0,2750,2,1656.0,575.0,공립,98831
노적봉예술공원미술관,전남,목포시,유달동,2588,0.0,2750,2,2576.0,1316.0,공립,32728
무안군오승우미술관,전남,무안군,삼향읍,10613,12.0,2750,2,2744.0,1031.7,공립,8682
보성군립백민미술관,전남,보성군,문덕면,6000,0.0,2750,2,1075.0,555.0,공립,4560
영암군립하정웅미술관,전남,영암군,군서면,3000,4.0,2750,2,2949.4,747.4,공립,22929
저녁노을미술관,전남,신안군,압해읍,2588,3.0,10000,2,1408.52,665.7,공립,24551
전남도립미술관,전남,광양시,광양읍,2166,24.0,2750,2,11580.0,2709.0,공립,128032
함평군립미술관,전남,함평군,함평읍,1371,3.0,2750,2,3854.0,1238.0,공립,37307
화순군립최상준미술관,전남,화순군,화순읍,638,3.0,2750,2,1090.0,387.0,공립,20635
갓바위미술관,전남,목포시,목원동,3011,0.0,7465,1,265.0,132.0,사립,1200
강진미술관,전남,강진군,강진읍,10,0.0,7465,1,685.0,511.0,사립,1800
경훈미술관,전남,목포시,연동,3011,12.0,7465,1,140.0,114.0,사립,165000
공예미술관 보임쉔,전남,담양군,대전면,3011,5.0,7465,1,373.0,158.0,사립,2000
나절로미술관,전남,진도군,임회면,10000,0.0,7465,1,822.0,822.0,사립,360
남포미술관,전남,고흥군,영남면,2200,1.0,7465,2,965.0,242.0,사립,30000
다산미술관,전남,화순군,사평면,2500,6.0,7465,1,378.0,120.0,사립,1800
대담미술관,전남,담양군,담양읍,4535,13.0,7465,2,895.0,416.0,사립,62926
도화헌미술관,전남,고흥군,도화면,1000,3.0,7465,3,231.8,131.0,사립,10800
리:피움미술관,전남,고흥군,남양면,4535,1.0,7465,2,835.0,189.0,사립,3000
모긴미술관,전남,순천시,향동,3011,1.0,7465,2,407.0,187.0,사립,2558
산꽃미술관,전남,진도군,진도읍,3011,0.0,3000,1,478.0,139.4,사립,400
섬in섬 연홍미술관,전남,고흥군,금산면,3011,3.0,7465,2,165.0,165.0,사립,38000
소소미술관,전남,화순군,도곡면,800,1.0,7465,2,1190.0,117.0,사립,7150
아인미술관,전남,장성군,장성읍,3011,2.0,7465,1,206.0,206.0,사립,18000
아천미술관,전남,영암군,신북면,15000,6.0,7465,2,905.0,812.0,사립,2000
아트센터신선미술관,전남,목포시,신흥동,3011,20.0,7465,1,245.0,225.0,사립,28000
여수미술관,전남,여수시,쌍봉동,3011,5.0,7465,1,382.0,237.0,사립,8490
이안미술관,전남,영암군,삼호읍,4535,0.0,7465,1,1038.0,712.9,사립,5400
우종미술관,전남,보성군,조성면,220,3.0,4000,2,560.0,359.0,사립,2500
유달미술관,전남,목포시,원산동,4535,0.0,7465,1,793.0,207.0,사립,4000
잠월미술관,전남,함평군,해보면,3011,4.0,7465,2,232.29,269.0,사립,2500
진도솔마루미술관,전남,진도군,군내면,10000,3.0,7465,1,549.0,248.0,사립,360
진도현대미술관,전남,진도군,진도읍,2000,485.0,7465,3,549.0,549.0,사립,4300
태곳미술관,전남,화순군,화순읍,3011,6.0,7465,1,103.0,85.0,사립,1200
학명미술관,전남,강진군,성전면,400,4.0,7465,1,140.0,280.0,사립,640
행촌미술관,전남,해남군,해남읍,1000,4.0,7465,2,429.0,100.0,사립,37560
회정미술관,전남,고흥군,남양면,3011,0.0,7465,2,358.38,213.0,사립,4200
경주솔거미술관,경북,경주시,보덕동,231,9.0,2750,2,1556.0,660.0,공립,153314
경주예술의전당 알천미술관,경북,경주시,황성동,177,1.0,2750,2,21232.0,2319.71,공립,56500
군립청송야송미술관,경북,청송군,진보면,15000,1.0,2750,2,2604.54,1307.24,공립,22654
김천시립미술관,경북,김천시,양금동,4535,1.0,2750,2,1031.0,277.5,공립,5375
포항시립미술관,경북,포항시,환여동,8468,11.0,2750,2,3314.0,1143.0,공립,147170
시안미술관,경북,영천시,화산면,650,12.0,3000,3,4500.0,900.0,사립,11800
신풍미술관,경북,예천군,지보면,3000,13.0,5000,1,397.0,218.0,사립,4000
영담한지미술관,경북,청도군,운문면,180,40.0,3000,2,300.0,218.0,사립,9000
우양미술관,경북,경주시,보덕동,1500,2.0,7465,3,5836.0,2356.0,사립,72240
향암미술관,경북,울진군,온정면,4535,0.0,2500,1,787.0,616.0,사립,2700
송강미술관,경북,안동시,서후면,4500,1.0,3000,3,903.3,454.2,사립,3120
대구가톨릭대학교김종복미술관,경북,경산시,하양읍,413,2.0,0,2,6678.0,1989.0,대학,3000
경남도립미술관,경남,창원시,봉림동,15528,40.0,1000,2,8931.0,2641.0,공립,78686
김해문화의전당 윤슬미술관,경남,김해시,내외동,10613,5.0,2750,2,43342.7,1379.0,공립,48430
진주시립이성자미술관,경남,진주시,충무공동,2588,5.0,2000,2,1219.0,377.0,공립,30108
창원시립마산문신미술관,경남,창원시,오동동,2588,11.0,500,2,2027.0,2027.0,공립,21348
대산미술관,경남,창원시,대산면,6850,4.0,2000,2,583.0,436.0,사립,10000
뮤지엄남해,경남,남해군,창선면,2588,6.0,5000,2,1689.0,236.0,사립,16249
우주미술관,경남,사천시,정동면,4535,2.0,7465,1,599.8,180.0,사립,6400
전혁림미술관,경남,통영시,봉평동,3011,1.0,7465,2,464.0,264.0,사립,33166
통영옻칠미술관,경남,통영시,용남면,4535,4.0,3000,2,937.0,303.0,사립,11809
서귀포시기당미술관,제주,서귀포시,천지동,2588,5.0,1000,2,1230.0,601.0,공립,17978
소암기념관,제주,서귀포시,정방동,2588,3.0,2750,2,1608.0,579.0,공립,6885
